Category	English	Chinese	Path
BUILDINGS.AUTODISINFECTABLE	Disable Disinfect	停用自動消毒	STRINGS.BUILDINGS.AUTODISINFECTABLE.DISABLE_AUTODISINFECT.NAME
BUILDINGS.AUTODISINFECTABLE	Enable Disinfect	啟用自動消毒	STRINGS.BUILDINGS.AUTODISINFECTABLE.ENABLE_AUTODISINFECT.NAME
BUILDINGS.AUTOMATABLE	Enable Manual	啟用手動	STRINGS.BUILDINGS.AUTOMATABLE.DISABLE_AUTOMATIONONLY.NAME
BUILDINGS.AUTOMATABLE	Disable Manual	停用手動	STRINGS.BUILDINGS.AUTOMATABLE.ENABLE_AUTOMATIONONLY.NAME
BUILDINGS.DISINFECTABLE	Cancel Disinfect	取消消毒	STRINGS.BUILDINGS.DISINFECTABLE.DISABLE_DISINFECT.NAME
BUILDINGS.DISINFECTABLE	Disinfect	消毒	STRINGS.BUILDINGS.DISINFECTABLE.ENABLE_DISINFECT.NAME
BUILDINGS.PREFABS	Nuclear Apothecary	核能製藥桌	STRINGS.BUILDINGS.PREFABS.ADVANCEDAPOTHECARY.NAME
BUILDINGS.PREFABS	Soldering Station	焊接台	STRINGS.BUILDINGS.PREFABS.ADVANCEDCRAFTINGTABLE.NAME
BUILDINGS.PREFABS	Disease Clinic	隔離診療站	STRINGS.BUILDINGS.PREFABS.ADVANCEDDOCTORSTATION.NAME
BUILDINGS.PREFABS	Super Computer	超級電腦	STRINGS.BUILDINGS.PREFABS.ADVANCEDRESEARCHCENTER.NAME
BUILDINGS.PREFABS	Airborne Critter Lure	飛行動物引誘機	STRINGS.BUILDINGS.PREFABS.AIRBORNECREATURELURE.NAME
BUILDINGS.PREFABS	Airborne Critter Condo	飛行小動物公寓	STRINGS.BUILDINGS.PREFABS.AIRBORNECRITTERCONDO.NAME
BUILDINGS.PREFABS	Thermo Regulator	冷氣機	STRINGS.BUILDINGS.PREFABS.AIRCONDITIONER.NAME
BUILDINGS.PREFABS	Deodorizer	空氣濾淨機	STRINGS.BUILDINGS.PREFABS.AIRFILTER.NAME
BUILDINGS.PREFABS	Algae Distiller	藻類蒸餾機	STRINGS.BUILDINGS.PREFABS.ALGAEDISTILLERY.NAME
BUILDINGS.PREFABS	Algae Terrarium	藻類盆栽	STRINGS.BUILDINGS.PREFABS.ALGAEHABITAT.NAME
BUILDINGS.PREFABS	Apothecary	製藥桌	STRINGS.BUILDINGS.PREFABS.APOTHECARY.NAME
BUILDINGS.PREFABS	Arcade Cabinet	街機	STRINGS.BUILDINGS.PREFABS.ARCADEMACHINE.NAME
BUILDINGS.PREFABS	Artifact Analysis Station	文物分析站	STRINGS.BUILDINGS.PREFABS.ARTIFACTANALYSISSTATION.NAME
BUILDINGS.PREFABS	Artifact Transport Module	文物運輸模組	STRINGS.BUILDINGS.PREFABS.ARTIFACTCARGOBAY.NAME
BUILDINGS.PREFABS	Space Cadet Centrifuge	太空人培訓離心機	STRINGS.BUILDINGS.PREFABS.ASTRONAUTTRAININGCENTER.NAME
BUILDINGS.PREFABS	Robo-Miner	機械礦工	STRINGS.BUILDINGS.PREFABS.AUTOMINER.NAME
BUILDINGS.PREFABS	Battery	電池	STRINGS.BUILDINGS.PREFABS.BATTERY.NAME
BUILDINGS.PREFABS	Jumbo Battery	大電池	STRINGS.BUILDINGS.PREFABS.BATTERYMEDIUM.NAME
BUILDINGS.PREFABS	Battery Module	電池模組	STRINGS.BUILDINGS.PREFABS.BATTERYMODULE.NAME
BUILDINGS.PREFABS	Smart Battery	智慧電池	STRINGS.BUILDINGS.PREFABS.BATTERYSMART.NAME
BUILDINGS.PREFABS	Beach Chair	海灘椅	STRINGS.BUILDINGS.PREFABS.BEACHCHAIR.NAME
BUILDINGS.PREFABS	Cot	簡易床	STRINGS.BUILDINGS.PREFABS.BED.NAME
BUILDINGS.PREFABS	Beeta Hive	輻射蜂巢	STRINGS.BUILDINGS.PREFABS.BEEHIVE.NAME
BUILDINGS.PREFABS	Biodiesel Engine	生質柴油引擎	STRINGS.BUILDINGS.PREFABS.BIODIESELENGINE.NAME
BUILDINGS.PREFABS	Bottle Emptier	清瓶器	STRINGS.BUILDINGS.PREFABS.BOTTLEEMPTIER.NAME
BUILDINGS.PREFABS	Canister Drainer	氣罐抽取器	STRINGS.BUILDINGS.PREFABS.BOTTLEEMPTIERCONDUITGAS.NAME
BUILDINGS.PREFABS	Bottle Drainer	瓶子抽取器	STRINGS.BUILDINGS.PREFABS.BOTTLEEMPTIERCONDUITLIQUID.NAME
BUILDINGS.PREFABS	Canister Emptier	清罐器	STRINGS.BUILDINGS.PREFABS.BOTTLEEMPTIERGAS.NAME
BUILDINGS.PREFABS	Bunker Door	防爆門	STRINGS.BUILDINGS.PREFABS.BUNKERDOOR.NAME
BUILDINGS.PREFABS	Bunker Tile	防爆磚	STRINGS.BUILDINGS.PREFABS.BUNKERTILE.NAME
BUILDINGS.PREFABS	Wood Heater	柴火爐	STRINGS.BUILDINGS.PREFABS.CAMPFIRE.NAME
BUILDINGS.PREFABS	Blank Canvas	空白畫布	STRINGS.BUILDINGS.PREFABS.CANVAS.NAME
BUILDINGS.PREFABS	Portrait Canvas	肖像畫	STRINGS.BUILDINGS.PREFABS.CANVASTALL.NAME
BUILDINGS.PREFABS	Landscape Canvas	風景畫	STRINGS.BUILDINGS.PREFABS.CANVASWIDE.NAME
BUILDINGS.PREFABS	Cargo Bay	貨艙	STRINGS.BUILDINGS.PREFABS.CARGOBAY.NAME
BUILDINGS.PREFABS	Large Cargo Bay	大型貨艙	STRINGS.BUILDINGS.PREFABS.CARGOBAYCLUSTER.NAME
BUILDINGS.PREFABS	Carpeted Tile	地毯磚	STRINGS.BUILDINGS.PREFABS.CARPETTILE.NAME
BUILDINGS.PREFABS	Hanging Fossil Block	垂吊化石雕塑塊	STRINGS.BUILDINGS.PREFABS.CEILINGFOSSILSCULPTURE.NAME
BUILDINGS.PREFABS	Ceiling Light	吸頂燈	STRINGS.BUILDINGS.PREFABS.CEILINGLIGHT.NAME
